Player,FideId
Levon Aronian,13300474
Maxim Matlakov,4168003
Vladislav Artemiev,24101605
Daniil Dubov,24126055
Magnus Carlsen,1503014
Bu Xiangzhi,8601445
Fabiano Caruana,2020009
Evgeniy Najer,4118987
Ding Liren,8603677
Vidit Santosh Gujrathi,5029465
Anish Giri,24116068
Sethuraman P Sethuraman,5021596
Alexander Grischuk,4126025
David Navara,309095
Vassily Ivanchuk,14100010
Vladimir Kramnik,4101588
Aleksandr Lenderman,2021285
Maxime Vachier-Lagrave,623539
Li Chao,8604436
Richard Rapport,738590
Hikaru Nakamura,2016192
Vladimir Fedoseev,24130737
Ian Nepomniachtchi,4168119
Baadur Jobava,13601520
Alexander Onischuk,14101025
Peter Svidler,4102142
Maxim Rodshtein,2806851
Anton Kovalyov,114987
Francisco Vallejo Pons,2205530
Wesley So,5202213
Wang Hao,8602883
Yuriy Kuzubov,14112906
